Season_year	Season_div	Date	OPP	Result	T Score	O Score	MIN	FG	FGM	FGA	FG%	3PT	3PTM	3PTA	3P%	FT	FTM	FTA	FT%	REB	AST	BLK	STL	PF	TO	PTS	Points Range
2016-2017	Post	Mon 6/12	CLE	W	129	120	41	10-20	10	20	50	2-9	2	9	22.2	12-15	12	15	80	6	10	0	3	3	4	34	30+ Points
2016-2017	Post	Fri 6/9	CLE	L	116	137	38	4-13	4	13	30.8	2-9	2	9	22.2	4-5	4	5	80	5	10	0	2	2	4	14	Under 30
2016-2017	Post	Thu 6/1	CLE	W	113	91	34	11-22	11	22	50	6-11	6	11	54.5	0-0	0	0	0	6	10	0	3	3	2	28	Under 30
2016-2017	Post	Sun 5/14	SAS	W	113	111	39	14-26	14	26	53.8	7-16	7	16	43.8	5-7	5	7	71.4	7	3	0	3	0	3	40	40+ Points
2016-2017	Post	Sat 5/6	UTA	W	102	91	37	6-20	6	20	30	3-11	3	11	27.3	8-9	8	9	88.9	5	4	0	0	2	0	23	Under 30
2016-2017	Post	Mon 4/24	POR	W	128	103	30	12-20	12	20	60	7-11	7	11	63.6	6-7	6	7	85.7	7	8	0	1	0	4	37	30+ Points
2016-2017	Post	Sat 4/22	POR	W	119	113	39	10-25	10	25	40	5-14	5	14	35.7	9-10	9	10	90	4	8	1	2	1	1	34	30+ Points
2016-2017	Post	Wed 4/19	POR	W	110	81	31	6-18	6	18	33.3	4-12	4	12	33.3	3-5	3	5	60	5	6	1	4	1	4	19	Under 30
2017-2018	Post	Mon 5/28	HOU	W	101	92	44	10-22	10	22	45.5	7-15	7	15	46.7	0-0	0	0	0	9	10	1	4	4	5	27	Under 30
2017-2018	Post	Sat 5/26	HOU	W	115	86	40	12-23	12	23	52.2	5-14	5	14	35.7	0-0	0	0	0	5	6	3	0	2	2	29	Under 30
2017-2018	Post	Thu 5/24	HOU	L	94	98	41	8-17	8	17	47.1	2-8	2	8	25	4-5	4	5	80	7	6	0	4	2	3	22	Under 30
2017-2018	Post	Mon 5/14	HOU	W	119	106	35	8-15	8	15	53.3	1-5	1	5	20	1-2	1	2	50	6	8	1	2	5	1	18	Under 30
2018-2019	Post	Fri 6/7	TOR	L	92	105	43	9-22	9	22	40.9	2-9	2	9	22.2	7-8	7	8	87.5	4	6	0	1	4	3	27	Under 30
2018-2019	Post	Wed 6/5	TOR	L	109	123	43	14-31	14	31	45.2	6-14	6	14	42.9	13-14	13	14	92.9	8	7	0	2	1	3	47	40+ Points
2018-2019	Post	Sun 6/2	TOR	W	109	104	41	6-17	6	17	35.3	3-10	3	10	30	8-9	8	9	88.9	3	4	0	3	3	1	23	Under 30
2018-2019	Post	Mon 5/20	POR	W	119	117	47	11-25	11	25	44	7-16	7	16	43.8	8-9	8	9	88.9	13	11	0	1	0	2	37	30+ Points
2018-2019	Post	Sat 5/18	POR	W	110	99	37	11-26	11	26	42.3	6-16	6	16	37.5	8-9	8	9	88.9	6	3	0	0	3	5	36	30+ Points
2018-2019	Post	Wed 5/8	HOU	W	104	99	44	9-23	9	23	39.1	3-11	3	11	27.3	4-5	4	5	80	6	5	0	0	2	3	25	Under 30
2018-2019	Post	Sat 5/4	HOU	L	121	126	45	7-23	7	23	30.4	2-9	2	9	22.2	1-3	1	3	33.3	3	4	0	2	5	3	17	Under 30
2018-2019	Post	Sat 4/13	LAC	W	121	104	37	11-16	11	16	68.8	8-12	8	12	66.7	8-9	8	9	88.9	15	7	1	0	4	4	38	30+ Points
2021-2022	Post	Mon 6/13	BOS	W	104	94	37	7-22	7	22	31.8	0-9	0	9	0	2-3	2	3	66.7	4	8	0	2	2	1	16	Under 30
2021-2022	Post	Fri 6/10	BOS	W	107	97	41	14-26	14	26	53.8	7-14	7	14	50	8-9	8	9	88.9	10	4	0	0	3	5	43	40+ Points
2021-2022	Post	Sun 6/5	BOS	W	107	88	32	9-21	9	21	42.9	5-12	5	12	41.7	6-7	6	7	85.7	6	4	0	3	2	2	29	Under 30
2021-2022	Post	Thu 6/2	BOS	L	108	120	38	12-25	12	25	48	7-14	7	14	50	3-4	3	4	75	5	5	0	3	3	2	34	30+ Points
2021-2022	Post	Tue 5/24	DAL	L	109	119	33	7-16	7	16	43.8	2-5	2	5	40	4-5	4	5	80	5	8	0	1	2	2	20	Under 30
2021-2022	Post	Wed 5/18	DAL	W	112	87	31	7-16	7	16	43.8	3-9	3	9	33.3	4-7	4	7	57.1	12	4	1	1	3	3	21	Under 30
2021-2022	Post	Fri 5/13	MEM	W	110	96	40	10-27	10	27	37	6-17	6	17	35.3	3-4	3	4	75	7	5	2	1	3	3	29	Under 30
2021-2022	Post	Wed 5/11	MEM	L	95	134	25	4-10	4	10	40	3-8	3	8	37.5	3-4	3	4	75	3	4	0	0	1	2	14	Under 30
2021-2022	Post	Mon 5/9	MEM	W	101	98	38	10-25	10	25	40	4-14	4	14	28.6	8-9	8	9	88.9	5	8	0	1	3	3	32	30+ Points
2021-2022	Post	Sun 5/1	MEM	W	117	116	37	8-20	8	20	40	5-12	5	12	41.7	3-4	3	4	75	3	4	1	0	5	1	24	Under 30
2021-2022	Post	Wed 4/27	DEN	W	102	98	38	10-22	10	22	45.5	5-11	5	11	45.5	5-7	5	7	71.4	5	5	0	2	2	5	30	30+ Points
2021-2022	Post	Sun 4/24	DEN	L	121	126	37	10-23	10	23	43.5	3-11	3	11	27.3	10-14	10	14	71.4	3	8	1	4	1	2	33	30+ Points
2021-2022	Post	Thu 4/21	DEN	W	118	113	31	9-17	9	17	52.9	3-9	3	9	33.3	6-8	6	8	75	3	6	0	0	3	4	27	Under 30
2021-2022	Post	Mon 4/18	DEN	W	126	106	23	12-17	12	17	70.6	5-10	5	10	50	5-7	5	7	71.4	3	4	1	1	3	2	34	30+ Points
2022-2023	Post	Wed 5/10	LAL	W	121	106	39	12-24	12	24	50	3-11	3	11	27.3	0-0	0	0	0	3	8	1	0	0	2	27	Under 30
2022-2023	Post	Sat 5/6	LAL	L	97	127	32	9-21	9	21	42.9	4-10	4	10	40	1-3	1	3	33.3	4	3	1	1	2	3	23	Under 30
2022-2023	Post	Sun 4/30	SAC	W	120	100	38	20-38	20	38	52.6	7-18	7	18	38.9	3-5	3	5	60	8	6	0	1	2	1	50	50+ Points
2022-2023	Post	Fri 4/28	SAC	L	99	118	36	9-21	9	21	42.9	5-12	5	12	41.7	6-9	6	9	66.7	4	5	1	2	2	5	29	Under 30
2022-2023	Post	Wed 4/26	SAC	W	123	116	42	12-25	12	25	48	2-10	2	10	20	5-6	5	6	83.3	2	8	0	0	2	5	31	30+ Points
2022-2023	Post	Mon 4/17	SAC	L	106	114	41	9-21	9	21	42.9	3-13	3	13	23.1	7-8	7	8	87.5	3	6	1	0	2	5	28	Under 30
